Binary Question,QuestionType,Question,choices,right,right text,wrong text,info,,
TRUE,1,THE INDIAN ELEPHANT:<br><br>Has more than 3 toes?,,TRUE,RIGHT — Advance 1,WRONG — No Move — Answer correctly next turn. ,What kind of lives did animals lead once they came to the zoo?,gundaComplains,Gunda Complains (1904-15)
TRUE,1,THE INDIAN ELEPHANT:<br><br>Is shorter than the African elephant?,,TRUE,RIGHT — Advance 1,WRONG — No Move — Answer correctly next turn. ,Would you like to learn about the relationship between keepers and their animals?,ZiggyAndGeorge,Ziggy and George (1940s-70s)
FALSE,1,THE INDIAN ELEPHANT:<br><br>Eats?,Meat (carnivorous)?/Vegetation (herbivorous)?/Both (omnivorous)?,Vegetation (herbivorous)?,WRONG — No Move — Answer correctly next turn./ RIGHT — Advance 1/ WRONG — No Move — Answer correctly next turn.,,What was life like behind bars for an elephant?,ZiggyAndGeorge,Ziggy and George (1940s-70s)
TRUE,2,Is this a sign of an Elephant:<br><br>A trampled mud wallow?,,TRUE,RIGHT — Advance 1,WRONG — Back 1,How did the animal trader become show business?,BringEmBackAlive,Bring 'Em Back Alive (1932)
TRUE,2,Is this a sign of an Elephant:<br><br>Claw marks on trees?,,FALSE,RIGHT — Advance 1,WRONG — Back 1,How did animal trade come to excite ordinary Americans?,theGirlWhoListenedToTheRadio,The Girl who Listened to the Radio (1934)
TRUE,2,Is this a sign of an Elephant:<br><br>Freshly killed game?,,FALSE,RIGHT — Advance 1,WRONG — Back 1,Would you like to follow an animal expedition in 1934?,theGirlWhoListenedToTheRadio,The Girl who Listened to the Radio (1934)
TRUE,2,Is this a sign of an Elephant:<br><br>Broken tree limbs?,,TRUE,RIGHT — Advance 1,WRONG — Back 1,Did zoo directors really capture their own animals?,storyOfAli,The Story of Ali (1920s-30s)
TRUE,2,Is this a sign of an Elephant:<br><br>A straight path to a water hole?,,FALSE,RIGHT — Advance 1,WRONG — Back 1,Discover the life of workers in the animal trade.,storyOfAli,The Story of Ali (1920s-30s)
TRUE,2,Is this a sign of an Elephant:<br><br>Leaves stripped from tree tops?,,TRUE,RIGHT — Advance 1,WRONG — Back 1,Would you like to go on the strangest zoo expedition of them all?,searchingForTheYeti,Searching for the Yeti
TRUE,2,Is this a sign of an Elephant:<br><br>Footprints_yes,,TRUE,RIGHT — Advance 1,WRONG — Back 1,How did zoo scientists learn about animals?,howToBeZooman,How to be a Zoo Man (1940s-50s)
TRUE,2,Is this a sign of an Elephant:<br><br>Footprints_no,,FALSE,RIGHT — Advance 1,WRONG — Back 1,How did zoo scientists learn about animals?,howToBeZooman,How to be a Zoo Man (1940s-50s)
FALSE,3,Will you capture by:,Cornering and using a net?/Driving to corral?,Driving to corral?,WRONG...Animal Escaped. Back 2 towards fresh trail./CAPTURED...Peg-in Animal on Picture Panel. ,,Who did the animal capturing?,how-capture-elephants-ceylon-1920s-30s,How to Capture Elephants in Ceylong (1920s-30s)
FALSE,4,Standard transport to zoo:,By air?/By ship?/By rail?,By ship?,NO MOVE — Too Costly. Answer again on next turn./ RIGHT — Move peg to Animal in Zoo./ WRONG — No Move — Answer correctly next turn.,,How did zoos bring large animals from jungles to enclosures?,RhinoRhino,Rhino Rhino (1948)
