Binary Question,QuestionType,Question,choices,right,right text,wrong text,,,
TRUE,1,THE CAPUCHIN MONKEY:<br><br>Lives in family groups?,,TRUE,RIGHT — Advance 1,WRONG — No Move — Answer correctly next turn. ,Would you like to visit the first American zoos?,first-vistors-1875-1910s,The First Visitors (1875-1910s)
TRUE,1,THE CAPUCHIN MONKEY:<br><br>Has a cap-like hair on head?,,TRUE,RIGHT — Advance 1,WRONG — No Move — Answer correctly next turn. ,Would you like to see the zoo through a little girl's eyes? ,ShirleyVisitsTheZoo,Shirley Visits the Zoo (1951)
FALSE,1,THE CAPUCHIN MONKEY:<br><br>Eats?,Meat (carnivorous)?/Vegetation (herbivorous)?/Both (omnivorous)?,Both (omnivorous)?,WRONG — No Move — Answer correctly next turn./WRONG — No Move — Answer correctly next turn./RIGHT — Advance 1,,Would you like to learn about the remarkable life of a performing chimpanzee who was chimp-napped?,chimpNappingMrMoke, The Chimp-napping of Mr. Moke (1959-61)
TRUE,2,Is this a sign of a Monkey:<br><br>A trail leading to a swamp?,,FALSE,RIGHT — Advance 1,WRONG — Back 1,What was it like for a performing animal? ,chimpNappingMrMoke,The Chimp-napping of Mr.Moke (1959-61)
TRUE,2,Is this a sign of a Monkey:<br><br>Trampled water plants?,,FALSE,RIGHT — Advance 1,WRONG — Back 1,When did zoos start breeding programs for their animals? ,myAnimalBabies,My Animal Babies
TRUE,2,Is this a sign of a Monkey:<br><br>Bits of fruit on the trail?,,TRUE,RIGHT — Advance 1,WRONG — Back 1,What was life like for zoo babies?,myAnimalBabies,My Animal Babies
TRUE,2,Is this a sign of a Monkey:<br><br>Chattering in trees?,,TRUE,RIGHT — Advance 1,WRONG — Back 1,What happens when the zookeepers went on strike? ,KeepersGoOnStrike,Keepers go on Strike
TRUE,2,Is this a sign of a Monkey:<br><br>Frightened deer running away?,,FALSE,RIGHT — Advance 1,WRONG — Back 1,Would you like to visit a children's zoo after WWII?,ShirleyVisitsTheZoo,Shirley Visits the Zoo (1951)
TRUE,2,Is this a sign of a Monkey:<br><br>Eggshells under trees?,,TRUE,RIGHT — Advance 1,WRONG — Back 1,What happens when the zookeepers went on strike?,KeepersGoOnStrike,Keepers go on Strike
TRUE,2,Is this a sign of a Monkey:<br><br>Footprints_yes,,TRUE,RIGHT — Advance 1,WRONG — Back 1,How did zoo scientists learn about animals?,howToBeZooman,How to be a Zoo Man (1940s-50s)
TRUE,2,Is this a sign of a Monkey:<br><br>Footprints_no,,FALSE,RIGHT — Advance 1,WRONG — Back 1,How did zoo scientists learn about animals?,howToBeZooman,How to be a Zoo Man (1940s-50s)
FALSE,3,Will you capture by:,Using a box trap in trees?/Digging a pit on the trail?,Using a box trap in trees?,WRONG...Animal Escaped. Back 2 towards fresh trail./CAPTURED...Peg-in Animal on Picture Panel. ,,Who did the animal capturing? ,how-capture-elephants-ceylon-1920s-30s,How to Capture Elephants in Ceylong (1920s-30s)
FALSE,4,Standard transport to zoo:,By air?/By ship?/By rail?,By air?,RIGHT — Move peg to Animal in Zoo./WRONG — No Move — Answer correctly next turn./WRONG — No Move — Answer correctly next turn. ,,How did zoos bring large animals from jungles to enclosures? ,RhinoRhino,Rhino Rhino (1948)
