Binary Question,QuestionType,Question,choices,right,right text,wrong text,info,,
TRUE,1,THE BIG HORN SHEEP:<br><br>Is found in the mountains?,,TRUE,RIGHT — Advance 1,WRONG — No Move — Answer correctly next turn.,Would you like to learn more about how when and why the American bison became such an important figure in America's history?,savingTheBison,Saving the Bison (1880s-1910s)
TRUE,1,THE BIG HORN SHEEP:<br><br>Is very sure footed?,,TRUE,RIGHT — Advance 1,WRONG — No Move — Answer correctly next turn.,Would you like to visit the first American zoos?,first-vistors-1875-1910s,The First Visitors (1875-1910s)
FALSE,1,THE BIG HORN SHEEP:<br><br>Eats?,Meat (carnivorous)?/Vegetation (herbivorous)?/Both (omnivorous)?,Vegetation (herbivorous)?,WRONG — No Move — Answer correctly next turn./ RIGHT — Advance 1/WRONG — No Move — Answer correctly next turn.,,Would you like to visit a children's zoo after WWII?,ShirleyVisitsTheZoo,Shirley Visits the Zoo (1951)
TRUE,2,Is this a sign of a Big Horn Sheep:<br><br>Nibbled leaves and grass?,,TRUE,RIGHT — Advance 1,WRONG — Back 1,Would you like to see the zoo through a little' girl's eyes?,ShirleyVisitsTheZoo,Shirley Visits the Zoo (1951)
TRUE,2,Is this a sign of a Big Horn Sheep:<br><br>Claw marks on trees?,,FALSE,RIGHT — Advance 2,WRONG — Back 1,Would you like to learn about the remarkable life of a performing chimpanzee who was chimp-napped?,chimpNappingMrMoke,The Chimp-napping of Mr. Moke (1959-61)
TRUE,2,Is this a sign of a Big Horn Sheep:<br><br>A broken horn?,,TRUE,RIGHT — Advance 1,WRONG — Back 1,What was it like for a performing animal?,chimpNappingMrMoke,The Chimp-napping of Mr. Moke (1959-61)
TRUE,2,Is this a sign of a Big Horn Sheep:<br><br>A broken honeycomb,,FALSE,RIGHT — Advance 1,WRONG — Back 1,When did zoos start breeding programs for their animals?,myAnimalBabies,My Animal Babies
TRUE,2,Is this a sign of a Big Horn Sheep:<br><br>Uprooted water lilies,,TRUE,RIGHT — Advance 2,WRONG — Back 2,What was life like for zoo babies?,myAnimalBabies,My Animal Babies
TRUE,2,Is this a sign of a Big Horn Sheep:<br><br>Chewed aspen leaves?,,TRUE,RIGHT — Advance 1,WRONG — Back 1,What happens when the zookeepers went on strike?,KeepersGoOnStrike,Keepers go on Strike
TRUE,2,Is this a sign of a Big Horn Sheep:<br><br>A mud wallow?,,TRUE,RIGHT — Advance 1,WRONG — Back 2,Would you like to visit a children's zoo after WWII?,ShirleyVisitsTheZoo,Shirley Visits the Zoo (1951)
TRUE,2,Is this a sign of a Big Horn Sheep:<br><br>Footprints_yes,,TRUE,RIGHT — Advance 1,WRONG — Back 1,How did zoo scientists learn about animals?,howToBeZooman,How to be a Zoo Man (1940s-50s)
FALSE,3,Will you capture by:,Enticing to a corral?/Catching with a hand net?,Enticing to a corral?,CAPTURED...Peg-in Animal on Picture Panel./WRONG...Animal Escaped. Back 2 towards fresh trail.,,How did Americans want captured animals to behave?,JungleBrawls,Jungle Brawls (1934)
FALSE,4,Standard transport to zoo:,By air?/By ship?/By rail?,By rail?,NO MOVE — Too Costly. Answer again on next turn./ WRONG — No Move — Answer correctly next turn./ RIGHT — Move peg to Animal in Zoo.,,How did zoos bring large animals from jungles to enclosures?,RhinoRhino,Rhino Rhino (1948)
