Binary Question,QuestionType,Question,choices,right,right text,wrong text,info,,
TRUE,1,THE JAGUAR:<br><br>Has rosette markings?,,TRUE,RIGHT — Advance 1,WRONG — No Move — Answer correctly next turn. ,Would you like to visit the first American zoos?,first-vistors-1875-1910s,The First Visitors (1875-1910s)
TRUE,1,THE JAGUAR:<br><br>Is heavier than a leopard?,,TRUE,RIGHT — Advance 1,WRONG — No Move — Answer correctly next turn. ,Would you like to learn about the remarkable life of a performing chimpanzee who was chimp-napped?,chimpNappingMrMoke,The Chimp-napping of Mr. Moke (1959-61)
FALSE,1,THE JAGUAR:<br><br>Eats?,Meat (carnivorous)?/Vegetation (herbivorous)?/Both (omnivorous)?,Meat (carnivorous)?,RIGHT — Advance 1/ WRONG — No Move — Answer correctly next turn./ WRONG — No Move — Answer correctly next turn. ,,What was it like for a performing animal?chimp-napping-mr-moke-1959-1961,chimpNappingMrMoke,The Chimp-napping of Mr.Moke (1959-61)
TRUE,2,Is this a sign of a Jaguar:<br><br>Bits of fruit on the trail?,,FALSE,RIGHT — Advance 1,WRONG — Back 1,When did zoos start breeding programs for their animals?,myAnimalBabies,My Animal Babies
TRUE,2,Is this a sign of a Jaguar:<br><br>Trampled water plants?,,FALSE,RIGHT — Advance 1,WRONG — Back 1,What was life like for zoo babies?,myAnimalBabies,My Animal Babies
TRUE,2,Is this a sign of a Jaguar:<br><br>Freshly killed game?,,TRUE,RIGHT — Advance 1,WRONG — Back 1,What happens when the zookeepers went on strike?,KeepersGoOnStrike,Keepers go on Strike
TRUE,2,Is this a sign of a Jaguar:<br><br>Scratch marks on trees?,,TRUE,RIGHT — Advance 1,WRONG — Back 1,Would you like to visit a children's zoo after WWII?,ShirleyVisitsTheZoo,Shirley Visits the Zoo (1951)
TRUE,2,Is this a sign of a Jaguar:<br><br>Cropped leaves?,,FALSE,RIGHT — Advance 1,WRONG — Back 1,Would you like to see the zoo through a little girl's eyes?,ShirleyVisitsTheZoo,Shirley Visits the Zoo (1951)
TRUE,2,Is this a sign of a Jaguar:<br><br>Frightened deer running away?,,TRUE,RIGHT — Advance 1,WRONG — Back 1,Would you like to learn about the remarkable life of a performing chimpanzee who was chimp-napped?,chimpNappingMrMoke,The Chimp-napping of Mr. Moke (1959-61)
TRUE,2,Is this a sign of a Jaguar:<br><br>A mud wallow?,,FALSE,RIGHT — Advance 1,WRONG — Back 1,What was it like for a performing animal?chimp-napping-mr-moke-1959-1961,chimpNappingMrMoke,The Chimp-napping of Mr.Moke (1959-61)
TRUE,2,Is this a sign of a Jaguar:<br><br>Footprints_yes,,TRUE,RIGHT — Advance 1,WRONG — Back 1,How did zoo scientists learn about animals?,howToBeZooman,How to be a Zoo Man (1940s-50s)
FALSE,3,Will you capture by:,Driving to corral?/Using a box trap?,Using a box trap?,WRONG...Animal Escaped. Back 2 towards fresh trail./ CAPTURED...Peg-in Animal on Picture Panel. ,,Was it traders or local workers?,how-capture-elephants-ceylon-1920s-30s,How to Capture Elephants in Ceylong (1920s-30s)
FALSE,4,Standard transport to zoo:,By air?/By ship?/By rail?,By ship?,NO MOVE — Too Costly. Answer again on next turn./RIGHT — Move peg to Animal in Zoo./WRONG — No Move — Answer correctly next turn. ,,How did zoos bring large animals from jungles to enclosures?,RhinoRhino,Rhino Rhino (1948)
