Binary Question,QuestionType,Question,choices,right,right text,wrong text,info,,
TRUE,1,THE INDIAN RHINOCEROS:<br><br>Has a tough armor-like hide?,,TRUE,RIGHT — Advance 1,WRONG — No Move — Answer correctly next turn. ,How did Americans learn to love animal documentaries?,chargingRhino,The Charging Rhino
TRUE,1,THE INDIAN RHINOCEROS:<br><br>Has a horn formed of hair bristles?,,TRUE,RIGHT — Advance 1,WRONG — No Move — Answer correctly next turn. ,How did the animal trader become show business?,BringEmBackAlive,Bring 'Em Back Alive (1932)
FALSE,1,THE INDIAN RHINOCEROS:<br><br>Eats?,Meat (carnivorous)?/Vegetation (herbivorous)?/Both (omnivorous)?,Vegetation (herbivorous)?,"WRONG — No Move — Answer correctly next turn./RIGHT — Advance 1/WRONG — No Move — Answer correctly next turn. """,,How did animal trade come to excite ordinary Americans?,theGirlWhoListenedToTheRadio,The Girl who Listened to the Radio (1934)
TRUE,2,Is this a sign of a Rhinoceros:<br><br>Leaves nibbled 12 ft. from the ground?,,FALSE,RIGHT — Advance 1,WRONG — Back 1,Would you like to follow an animal expedition in 1934?,theGirlWhoListenedToTheRadio,The Girl who Listened to the Radio (1934)
TRUE,2,Is this a sign of a Rhinoceros:<br><br>Claw marks on trees?,,FALSE,RIGHT — Advance 1,WRONG — Back 1,Did zoo directors really capture their own animals?,storyOfAli,The Story of Ali (1920s-30s)
TRUE,2,Is this a sign of a Rhinoceros:<br><br>Freshly killed game?,,FALSE,RIGHT — Advance 1,WRONG — Back 1,Discover the life of workers in the animal trade.,storyOfAli,The Story of Ali (1920s-30s)
TRUE,2,Is this a sign of a Rhinoceros:<br><br>A trampled mud wallow?,,TRUE,RIGHT — Advance 1,WRONG — Back 1,Would you like to go on the strangest zoo expedition of them all?,searchingForTheYeti,Searching for the Yeti
TRUE,2,Is this a sign of a Rhinoceros:<br><br>Leaves nibbled low on trees?,,TRUE,RIGHT — Advance 1,WRONG — Back 1,When did zoos start breeding programs for their animals?,myAnimalBabies,My Animal Babies
TRUE,2,Is this a sign of a Rhinoceros:<br><br>Trees rubbed 4 ft. from groud?,,TRUE,RIGHT — Advance 1,WRONG — Back 1,What was life like for zoo babies?,myAnimalBabies,My Animal Babies
TRUE,2,Is this a sign of a Rhinoceros:<br><br>Footprints_yes,,TRUE,RIGHT — Advance 1,WRONG — Back 1,How did zoo scientists learn about animals?,howToBeZooman,How to be a Zoo Man (1940s-50s)
TRUE,2,Is this a sign of a Rhinoceros:<br><br>Footprints_no,,FALSE,RIGHT — Advance 1,WRONG — Back 1,How did zoo scientists learn about animals?,howToBeZooman,How to be a Zoo Man (1940s-50s)
FALSE,3,Will you capture by:,Luring a shallow pit on trail?/Using a large net?,Luring a shallow pit on trail?,WRONG...Animal Escaped. Back 2 towards fresh trail./ CAPTURED...Peg-in Animal on Picture Panel. ,,Was it traders or local workers?,how-capture-elephants-ceylon-1920s-30s,How to Capture Elephants in Ceylong (1920s-30s)
FALSE,4,Standard transport to zoo:,By air?/By ship?/By rail?,By ship?,NO MOVE — Too Costly. Answer again on next turn./ RIGHT — Move peg to Animal in Zoo./ WRONG — No Move — Answer correctly next turn. ,,How did zoos bring large animals from jungles to enclosures?,RhinoRhino,Rhino Rhino (1948)
